1ch,2ch,3ch,4ch,5ch,6ch,7ch,8ch,class
6.97,13.79,14.85,12.82,13.83,2.17,2.14,9.49,oya
7.06,13.81,14.81,12.82,13.83,2.26,2.2,9.12,oya
7.51,13.92,14.56,12.82,13.83,2.27,2.16,8.8,oya
7.65,13.87,14.55,12.59,13.77,2.27,2.17,8.28,oya
7.85,13.46,14.91,12.13,13.42,2.24,2.27,8.28,oya
7.41,13.45,14.69,12.91,12.75,2.37,2.27,7.91,oya
7.44,14.23,14.66,13.58,12.75,2.27,1.99,7.8,oya
7.35,14.74,14.43,13.94,10.61,2.09,1.95,7.72,oya
7.35,15.02,14.43,13.92,10.59,2.12,1.75,7.37,oya
7.36,15,14.54,13.74,6.64,2.12,1.7,7.34,oya
7.4,15.14,13.35,12.71,6.55,2.12,1.7,7.49,oya
7.46,15.11,13.34,12.7,6.01,2.12,1.69,7.49,oya
7.48,15.15,13.32,12.69,5.95,2.11,1.73,6.59,oya
7.69,12.52,13.32,12.33,6.07,2.11,1.63,6.68,oya
7.57,13.59,12.19,13.74,7.33,2.25,1.7,6.47,oya
7.7,13.77,12.02,13.69,7.35,2.38,1.7,5.87,oya
7.99,13.77,8.43,13.13,13.75,2.41,1.7,5.81,oya
8.06,13.63,6.21,12.08,14.68,2.87,1.69,5.95,oya
8.03,12.58,6.27,13.69,14.66,2.81,1.7,6.02,oya
7.66,10.91,6.19,13.81,14.56,2.74,1.57,6.02,oya
7,10.94,5.85,13.84,14.55,2.81,1.57,5.95,oya
7.04,10.92,5.81,15.74,14.74,2.74,1.57,5.98,oya
6.4,11.35,5.67,15.74,15.01,2.95,1.57,6.07,oya
6.4,11.37,6.18,15.89,14.94,2.97,1.55,5.88,oya
6.4,12.75,5.2,16.7,14.9,3,1.41,5.97,oya
6.26,13.07,5.2,16.25,14.52,2.86,1.41,5.98,oya
6.24,15.13,5,15.53,14.58,2.76,1.47,4.64,oya
5.56,14.52,9.19,15.53,15.27,2.79,1.45,4.64,oya
5.6,14.52,9.29,15.53,15.51,2.79,1.43,4.6,oya
5.65,14.52,9.18,15.84,16.47,2.86,1.48,4.73,oya
5.59,14.64,9.27,16.68,16.54,2.85,1.48,4.34,oya
5.55,14.61,9.31,16.77,16.68,2.82,1.55,4.35,oya
5.77,15.11,10.39,16.95,16.63,2.83,1.86,5.36,oya
5.64,14.78,11.14,17.02,16.6,2.86,1.75,5.24,oya
5.68,14.86,11.57,15.85,15.98,2.73,1.61,5.22,oya
5.47,15.22,11.62,15.79,16.04,2.58,1.66,4.98,oya
5.11,15.21,11.6,15.28,11.05,2.63,1.66,5.02,oya
4.63,15.01,12.04,15.41,9.79,2.12,1.79,5.53,oya
4.67,15.44,12.25,14.43,9.75,2.01,1.83,5.42,oya
5.26,15.48,12.37,14.25,11.24,2.29,2.04,5.86,oya
5.33,15.5,12.82,14.26,11.56,2.2,2.07,5.62,oya
5.63,17.57,12.81,12.58,11.37,2.29,2.16,5.98,oya
5.67,17.21,12.81,12.58,11.14,2.05,2.33,5.89,oya
5.47,17.19,12.58,12.67,11.52,2.01,2.35,5.92,oya
5.17,16.13,13.27,13.16,11.49,1.97,2.38,5.77,oya
5.19,15.99,13.21,13.1,11.48,1.99,2.41,5.79,oya
5.17,13.49,13.18,12.87,11.41,1.94,2.38,6.36,oya
5.3,13.57,11.34,12.28,10.42,1.9,2.39,6.4,oya
5.63,13.26,11.28,12.18,10.19,1.9,2.39,6.37,oya
5.59,13.67,11.54,13.44,10.84,1.77,2.39,6.3,oya
5.59,13.51,11.44,12.22,10.73,1.79,2.48,6.27,oya
5.56,13.98,11.46,12.75,10.89,1.79,2.45,6.32,oya
5.27,13.57,10.69,12.58,10.92,1.99,2.28,5.5,oya
5.27,13.55,9.91,12.98,11.61,1.95,2.37,5.39,oya
5.22,12.37,9.42,13.19,11.45,1.95,2.38,5.37,oya
5.39,11.61,9.38,13.67,11.61,2.14,2.38,5.48,oya
5.5,11.59,9.35,13.65,11.66,2.04,2.39,5.57,oya
5.28,16.57,8.89,13.62,11.76,2.07,2.29,4.88,oya
8.11,16.68,10.72,13.41,11.75,2.36,2.35,4.9,oya
8.34,17.86,10.66,13.88,10.36,2.09,2.17,4.36,oya
8.59,17.94,10.2,18.07,10.21,2.09,2.13,4.34,oya
8.44,15.96,10.42,17.62,10.53,1.99,1.95,3.74,oya
8.36,16.1,11.9,18.69,10.46,1.95,1.75,3.82,oya
8.45,16.23,13.34,18.5,9.99,1.99,1.86,3.82,oya
8.46,16.79,12.65,17.55,10.18,1.97,1.82,3.81,oya
8.63,21.83,12.66,18.34,10.47,2.01,1.76,5.19,oya
8.7,22.84,12.74,18.34,10.48,2.02,1.75,4.44,oya
8.6,23.03,12.1,18.47,10.48,2.02,1.79,4.66,oya
8.55,23.21,12.18,18.58,10.4,1.99,1.79,4.66,oya
8.57,23.32,12.77,17.5,7.95,2.04,1.79,4.7,oya
